菶	艹 lu
琣	王口 nd
堋	土月 gv
伻	亻丷 jh
塴	土月 gv
埄	土丰 ga
揼	扌水 uk
甮	勹用 nt
鏰	金月 zv
㑟	亻 jh
㱶	歹彡 ge
㷯	火 cu
䋽	糹寸 ik
䙀	衤月 tv
䨻	⻗田 tq
䩬	革 tu
䭰	禾 xu
䳞	鳥 ax
埲	土 gu
奟	大月 mv
嵭	山方 vl
痭	疒月 av
絣	糹廾 il
跰	⻊廾 pl
逬	丿辶 tu
閍	門方 al
鞛	革口 td
𠜳	月刂 vp
𠡮	月力 vs
𡎾	土月 gv
𡡈	女月 bv
𡶤	山用 vt
𡾛	山廾 vl
𢆸	幺㇗ ia
𢉁	广月 xv
𢏳	弓干 be
𢐒	弓月 bv
𣂤	月斤 vt
𣨥	歹月 gv
𤙾	牜干 qe
𤡭	犭彡 me
𤫬	瓜丰 ya
𥖗	壴石 hm
𥛱	示 hf
𥞩	禾廾 xl
𥦜	月 ev
𦂌	土糸 gi
𦅈	糹彡 ie
𦝷	月廾 vl
𦺑	艹毛 lv
𧑑	虫 cu
𧚭	衤干 te
𧩱	言廾 sl
𧻓	走廾 pl
𨆊	足 hp
𨓁	幺辶 iu
𨕧	幺辶 iu
𨹹	阝月 tv
𨻱	阝月 tv
𩂦	廾 tl
𩊌	革立 ti
𩑚	頁 aw
𩗴	⺇ ou
𪔑	石 hm
筆	⺮聿 rb
拂	扌弗 ut
畢	田 qu
祕	礻丿 ft
幣	㡀巾 fr
閟	門丿 at
柲	木丿 et
肶	月匕 vv
偪	亻田 jq
閉	門丿 at
禆	礻十 fn
饆	飠 qu
啚	口口 dd
皀	白匕 uv
鷩	㡀鳥 fx
斃	㡀匕 fv
睥	目十 qn
闬	门干 ae
弻	弓弓 bb
毴	毛非 vr
痺	疒十 an
箆	⺮匕 rv
腷	月田 vq
彃	弓 bu
鉍	金丿 zt
煏	火田 cq
怭	忄丿 ht
柀	木皮 er
湢	氵田 kq
獘	㡀犬 fm
髲	镸皮 pr
愊	忄田 hq
楅	木田 eq
滭	氵 ku
粃	米匕 pv
纰	纟匕 iv
嗶	口 du
夶	大大 mm
奰	罒大 ym
梐	木土 eg
畐	一田 fq
疕	疒匕 av
疪	疒匕 av
繴	尸糸 ci
聛	耳十 qn
蜌	虫土 cg
貏	豸十 mn
蹕	⻊ pu
鶝	一鳥 fx
堛	土田 gq
妼	女丿 bt
潷	氵聿 kb
熚	火 cu
綼	糹十 in
鎞	金匕 zv
鏎	金 zu
鐴	金辛 zn
飶	飠丿 qt
㓖	冫 wu
㗉	丰各 as
㗊	口口 dd
㘠	囗丿 rt
㘩	土匕 gv
㙄	土土 gg
㚕	大弗 mt
㚰	女一 bf
㠲	巾匕 rv
㡀	㡀 fb
㡙	巾匕 rv
㢰	弓皮 br
㢶	弓白 bu
㢸	弓攵 bh
㧙	扌丿 ut
㪏	白攴 uh
㪤	田攵 qh
㮰	木匕 ev
㮿	木 eu
㯇	木土 eg
